Title,Status,ListingDate,EndingDate,BuyItNow,SalePrice,Fees,Net,FriendlyPackageId,FrontImageUrl
2025-26 Topps Finest Liam McNeeley Baseline Auto RC Rookie #BA-LM Hornets,Active,08/22/2026 01:23:20 +00:00,08/27/2026 01:23:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTc2/z/a1wAAeSw0fJqiMaL/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Dwyane Wade Muse #M-8 Heat,Active,08/22/2026 01:21:40 +00:00,08/27/2026 01:21:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTg4/z/k2wAAeSw02JqiMYQ/$_1.JPG?set_id=8800005007
2026 Topps Collector's Kit Exclusive Victor Wembanyama Rainbow Foil #NBA-7,Active,08/22/2026 01:20:00 +00:00,08/27/2026 01:20:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTc3/z/geYAAeSwcXFqiMXT/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Zach Lavine Common Oil Spill Refractor #86 Kings,Active,08/22/2026 01:18:20 +00:00,08/27/2026 01:18:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjIz/z/v9EAAeSwUkpqiMXS/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Malik Monk Uncommon Sky Blue Refractor #/250 Kings,Active,08/22/2026 01:16:40 +00:00,08/27/2026 01:16:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjM0/z/trcAAeSwhVlqiMZE/$_1.JPG?set_id=8800005007
2025-26 Topps Finest Zach Lavine Common Green Refractor #/75 Kings,Active,08/22/2026 01:15:00 +00:00,08/27/2026 01:15:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjYx/z/M2oAAeSwuxVqiMa-/$_1.JPG?set_id=8800005007
2024-25 Topps Chrome Victor Wembanyama Pink Refractor #193 Spurs,Active,08/22/2026 01:13:20 +00:00,08/27/2026 01:13:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjQy/z/XgQAAeSwc8FqiMYI/$_1.JPG?set_id=8800005007
2025-26 Bowman Victor Wembanyama Chrome Mojo Refractor #BCV-143 Spurs,Active,08/22/2026 01:11:40 +00:00,08/27/2026 01:11:40 +00:00,False,$1.48,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjA1/z/NpgAAeSwUjRqiMYF/$_1.JPG?set_id=8800005007
2026 Topps Now Munetaka Murakami RC - Rookie #52 White Sox,Active,08/22/2026 01:10:00 +00:00,08/27/2026 01:10:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/YaoAAeSwNoNqiMY~/$_1.JPG?set_id=8800005007
2025 Bowman's Best Cam Smith RC Lazer Refractor Rookie #/350 Astros,Active,08/22/2026 01:08:20 +00:00,08/27/2026 01:08:20 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/ShYAAeSwUXpqiMY8/$_1.JPG?set_id=8800005007
2025 Topps Chrome Sapphire Leonardo Barroso RC Orange Refractor Prodigies #/25,Active,08/22/2026 01:06:40 +00:00,08/27/2026 01:06:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/bDkAAeSwVsxqiMZ4/$_1.JPG?set_id=8800005007
2026 Bowman Jhonny Level Scouts Top 100 Chrome Mini-Diamond Refractor #/150,Active,08/22/2026 01:05:00 +00:00,08/27/2026 01:05:00 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjEy/z/a8kAAeSwijdqiMY6/$_1.JPG?set_id=8800005007
2025 Bowman Seaver King Chrome Prospects Reptilian Gold Refractor #/50 Nationals,Active,08/22/2026 01:03:20 +00:00,08/27/2026 01:03:20 +00:00,False,$0.99,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMjAy/z/Ls0AAeSwzMRqiMZt/$_1.JPG?set_id=8800005007
2026 Bowman Sapphire Leo De Vries Chrome Prospects #BCP-63 Athletics,Active,08/22/2026 01:01:40 +00:00,08/27/2026 01:01:40 +00:00,False,$0.00,$0.00,$0.00,275660,https://i.ebayimg.com/00/s/MTYwMFgxMTk1/z/oP0AAeSwmX1qiMaw/$_1.JPG?set_id=8800005007
