confidence,card,cond,qty,collx_ask,ebay_sold_for,ebay_date,location,collx_id,ebay_title
High,2025 Ryan Mitchell #BDC-77,RAW,1,7.55,$5.75,May-21-26,1/2,1013980199694747648,2025 Bowman Draft Ryan Mitchell #BDC-77 Chrome Sky Blue Refractor Cardinals
High,2025 Ethan Conrad #BD-17,RAW,1,18.95,$10.00,Apr-15-26,1/2,1013980188504344576,2025 Bowman Draft Ethan Conrad #BD-17 Blue Border /150 1st Prospect Cubs
High,2025 Asa Newell #273,RAW,1,3.5,$2.75,Jun-26-26,,1010997296136540160,2025-26 Topps Chrome Asa Newell #273 Negative Refractor Atlanta Hawks
High,2025 Kentavious Caldwell-Pope #143,RAW,1,2.59,$2.59,Jun-21-26,,1010997279157997568,2025-26 Topps Chrome Kentavious Caldwell-Pope #143 Negative Refractor Magic
High,2025 Dwyane Wade #241,RAW,1,1.0,$3.99,Apr-30-26,,1010997256701693952,2025-26 Topps Chrome Dwyane Wade #241 Teal Refractor Miami Heat #/299
High,2025 Dylan Harper #GR-2,RAW,1,4.95,$3.98,Jul-03-26,,1010997198191153152,DYLAN HARPER 2025-26 Topps Chrome #GR-2 Spurs RC Rookie Basketball NBA
High,2025 Nate George #BDC-113,RAW,1,29.98,$2.20,May-14-26,,1010623172616670208,2025 Bowman Draft Sapphire NATE GEORGE #BDC-113 Chrome Orioles
High,2025 Gavin Kilen #BDC-40,RAW,1,1.99,$6.99,May-16-26,,1010623151250885632,2025 Bowman Draft Sapphire GAVIN KILEN #BDC-40 Chrome 1st Prospect Giants
High,2025 Liam Doyle #BDC-12,RAW,1,2.29,$9.49,May-13-26,,1010623157156465664,2025 Bowman Sapphire Liam Doyle #BDC-12 Chrome 1st Prospect Cardinals
High,2025 Nick Becker #BDC-100,RAW,1,1.99,$4.99,Jun-06-26,,1010623145596963840,2025 Bowman Draft Sapphire NICK BECKER #BDC-100 Chrome 1st Prospect Mariners
High,2025 Ethan Conrad #BDC-17,RAW,1,2.99,$10.00,Apr-15-26,,1010623148742691840,2025 Bowman Draft Ethan Conrad #BD-17 Blue Border /150 1st Prospect Cubs
High,2025 Ethan Frey #BDC-67,RAW,1,1.99,$3.99,Apr-16-26,,1010623107470740480,2025 Bowman Draft Ethan Frey #BDC-67 Chrome X-Fractor 1st Prospect Astros
High,2025 Nick Becker #BDC-100,RAW,1,2.99,$4.99,Jun-06-26,,1010623092127976448,2025 Bowman Draft Sapphire NICK BECKER #BDC-100 Chrome 1st Prospect Mariners
High,2025 Gavin Kilen #BDC-40,RAW,1,2.99,$6.99,May-16-26,,1010623095357590528,2025 Bowman Draft Sapphire GAVIN KILEN #BDC-40 Chrome 1st Prospect Giants
High,2025 Ethan Conrad #BDC-17,RAW,1,6.0,$10.00,Apr-15-26,,1010623088755756032,2025 Bowman Draft Ethan Conrad #BD-17 Blue Border /150 1st Prospect Cubs
High,2026 Roman Anthony #SMLB-25,RAW,1,2.38,$1.99,Apr-24-26,,1007375161059708928,2026 Topps Roman Anthony #SMLB-25 Stars of MLB Crackleboard Foil RC Red Sox
High,2025 Oneil Cruz #49,RAW,1,2.99,$2.99,Jun-12-26,,1005432967705504768,2025 Topps Chrome Cosmic Oneil Cruz #49 Refractor Pittsburgh Pirates
High,2025 Will Warren #23,RAW,1,2.95,$1.50,May-02-26,,1005432940484471808,2025 Topps Chrome Cosmic Will Warren #23 Refractor New York Yankees
High,2020 Shohei Ohtani #26,RAW,1,1.99,$1.99,Jun-06-26,,1004647110585589760,2020 Bowman Shohei Ohtani #26 Los Angeles Angels
High,2025 James Wood #29,RAW,1,3.99,$2.50,Jul-02-26,,1004647072862019584,JAMES WOOD 2025 Bowman #29 Mojo Washington Nationals
High,2025 James Wood #29,RAW,1,2.25,$2.50,Jul-02-26,,1004647069305249792,JAMES WOOD 2025 Bowman #29 Mojo Washington Nationals
High,2025 Jacob Wilson #SMLB-31,RAW,1,1.76,$1.99,May-16-26,,1004647036010864640,2025 Bowman's Best JACOB WILSON #31 Refractor RC Athletics
High,2025 James Wood #29,RAW,1,1.79,$2.50,Jul-02-26,,1000271968271077376,JAMES WOOD 2025 Bowman #29 Mojo Washington Nationals
High,2025 Marco Dinges #BCP-183,RAW,1,1.4,$1.00,Jul-01-26,,1000271951376420864,2025 Bowman Chrome MARCO DINGES #BCP-183 Prospects Milwaukee Brewers
High,2025 Andrew Salas #BCP-156,RAW,1,1.5,$3.00,Jul-02-26,,1000271927410167808,2025 Bowman Chrome ANDREW SALAS #BCP-156 Prospects Mini-Diamond Miami Marlins
High,2025 Kevin Alvarez #BCP-227,RAW,1,1.99,$1.59,Apr-17-26,,1000271910028972032,2025 Bowman Chrome Kevin Alvarez #BCP-227 1st Prospect Astros
High,2025 Caden Bodine #BDC-63,RAW,1,2.59,$1.59,May-14-26,,999715681514524672,2025 Bowman Draft CADEN BODINE #BDC-63 Chrome Refractor 1st Prospect Orioles
High,2025 Ike Irish #BDC-16,RAW,1,4.79,$7.50,May-06-26,,999715684324708352,2025 Bowman Draft Sapphire IKE IRISH #BDC-16 Chrome Orioles
High,2025 Kane Kepley #BDC-200,RAW,1,1.99,$5.50,Jun-19-26,,999715672211558400,2025 Bowman Draft Kane Kepley #BD-200 Sky Blue Border Chicago Cubs #/499
High,2025 Spencer Jones #BDC-9,RAW,1,1.99,$2.49,May-07-26,,999715677907423232,2025 Bowman Draft Spencer Jones #BDC-9 Chrome Refractor Yankees
High,2025 Kaeden Kent #BDC-65,RAW,1,2.75,$6.50,May-22-26,,999715656617136128,2025 Bowman Draft Sapphire KAEDEN KENT #BDC-65 Chrome 1st Prospect Yankees
High,2025 Theo Gillen #BDC-121,RAW,1,8.99,$16.00,Apr-16-26,,999559126592753664,2025 Bowman Draft Theo Gillen #BDC-121 Chrome Gold Refractor /50 Rays
High,2025 Caden Bodine #BDC-63,RAW,2,17.0,$1.59,May-14-26,,999035110318148608,2025 Bowman Draft CADEN BODINE #BDC-63 Chrome Refractor 1st Prospect Orioles
