Item number,Custom label (SKU),Title,New price,Confidence
227462337113,FBrelist-080426-0032,ASHTON JEANTY 2024 Bowman University Chrome #17 RC Raiders Boise State Football,4.19,78%
227462337115,FBrelist-080426-0035,2023 Panini MOSAIC - Amari Cooper #50 Browns Football,1.99,66%
227462337121,FBrelist-080426-0029,2024 Panini MOSAIC - Bijan Robinson #9 Falcons Football,1.99,66%
227462337126,FBrelist-080426-0027,2023 Panini MOSAIC - National Pride Lamar Jackson #260 Ravens Football,1.99,86%
227462337133,FBrelist-080426-0040,FRANK GORE JR. 2024 Topps Finest Common #81 RC Bills Rookie Football,1.99,77%
227462337155,FBrelist-080426-0042,2024 Bowman Chrome University Football #182 Will Howard Ohio State Buckeyes,1.99,64%
227462337157,FBrelist-080426-0039,LADD MCCONKEY 2024 Panini Absolute Rookies #134 RC Chargers Football,1.99,68%
227462337169,FBrelist-080426-0047,CHRISTIAN KIRK 2024 Panini Prizm Green Cracked Ice #131 Jaguars Football,3.89,100%
227462337172,FBrelist-080426-0044,DAVID MONTGOMERY 2024 Panini Prizm #94 Lazer Prizm Lions Football,1.99,67%
227462337178,FBrelist-080426-0048,LAIATU LATU FOOTBALL 2024 Panini Prizm #5 PRIZMATIC GREEN ICE COLTS RC ROOKIE,1.99,76%
227462337179,FBrelist-080426-0052,ROBBY RAY 2025 Topps Series 2 #459 Gold Parallel #0651/2025 Giants Football,4.79,100%
227462337180,FBrelist-080426-0049,MAXX CROSBY 2024 Panini Contenders Season Ticket Las Vegas Raiders NFL #52,1.99,80%
227462337191,FBrelist-080426-0045,CHRIS OLAVE 2024 Panini Prizm #206 Black & White Checker Prizm Saints Football,1.99,71%
