TransactionType,Description,GrossAmount,Fees,NetAmount,TransactionDate,RunningBalance
Sale,2025 Topps Update Aaron Judge Jazz Chisholm Jr. Holiday Jack O'Lantern #US85,$3.25,$1.64,$1.61,04/24/2026 13:57:39 +00:00,$93.88
Sale,2025-26 Topps Chrome Cactus Jack x NBA All-Star Franz Wagner Black #/10,$61.00,$8.92,$52.08,04/26/2026 02:10:22 +00:00,$145.96
Sale,2025 Topps Cosmic Chrome Cam Smith Ultraviolet Beam RC Green Refractor #/75,$20.50,$4.68,$15.82,04/26/2026 02:13:22 +00:00,$161.78
Payout,Requested payout via ACH,-$161.78,$0.00,-$161.78,04/26/2026 21:04:21 +00:00,$0.00
Sale,2025 Bowman Chrome Marcelo Mayer Auto RC Refractor #/499 Red Sox Rookie,$89.00,$12.56,$76.44,04/29/2026 01:00:52 +00:00,$76.44
Sale,2025 Topps Cosmic Chrome Marcelo Mayer Planetary Pursuit RC Sun #PPS-10 Red Sox,$30.00,$4.89,$25.11,04/29/2026 01:01:59 +00:00,$101.55
Sale,2025-26 Topps Finest Kon Knueppel Arrivals RC Rookie #A-4 Hornets,$7.50,$2.49,$5.01,04/29/2026 01:16:39 +00:00,$106.56
Sale,2025 Bowman's Best Billy Carlson Auto Purple Refractor #/75 White Sox,$26.00,$4.37,$21.63,04/29/2026 01:31:03 +00:00,$128.19
Sale,2025 Bowman Draft Andrew Salas Chrome Yellow Geometric Refractor #/75 Marlins,$10.59,$2.90,$7.69,04/29/2026 01:40:35 +00:00,$135.88
Sale,2026 Topps Julio Rodriguez 1991 Chrome Silver Pack Aqua Refractor #/199,$10.00,$2.79,$7.21,04/29/2026 01:44:07 +00:00,$143.09
Sale,2026 Topps Cam Schlittler RC Team Color Border Variation SP Rookie #111 Yankees,$52.00,$7.75,$44.25,04/29/2026 01:59:21 +00:00,$187.34
Sale,2025 Bowman's Best Liam Doyle Auto #B25-LDO Cardinals,$19.51,$4.50,$15.01,04/29/2026 03:18:36 +00:00,$202.35
Sale,2025 Bowman Draft Xavier Neyens In Action Green Refractor #/99 Astros,$4.01,$1.79,$2.22,04/29/2026 05:04:18 +00:00,$204.57
Sale,2026 Topps Ronald Acuna Jr. 1991 Chrome Silver Pack Orange Refractor #/25,$63.51,$9.25,$54.26,04/29/2026 05:10:59 +00:00,$258.83
Sale,2025 Bowman Draft Jamie Arnold In Action Green Refractor #/99 Athletics,$23.25,$5.17,$18.08,04/29/2026 12:16:00 +00:00,$276.91
Sale,2025 Bowman Draft Tim Piasentin Chrome Gold Geometric Refractor 1st #/50,$17.50,$4.14,$13.36,04/29/2026 15:42:45 +00:00,$290.27
Payout,Requested payout via ACH,-$290.27,$0.00,-$290.27,04/29/2026 18:04:42 +00:00,$0.00
ListingFee,2024-25 Panini Donruss Optic Amen Thompson Purple Prizm #169 Rockets,$0.00,$2.00,-$2.00,04/29/2026 23:53:49 +00:00,-$2.00
Sale,2024 Bowman Chrome Starlyn Nunez Reptilian Blue Refractor 1st #/150 Red Sox,$8.50,$2.69,$5.81,04/30/2026 00:01:36 +00:00,$3.81
ListingFee,2022-23 Panini Flux Tyrese Maxey #70 76ers,$0.00,$2.00,-$2.00,04/30/2026 00:09:46 +00:00,$1.81
ListingFee,2025 Panini Phoenix Jayden Daniels #8 Commanders,$0.00,$2.00,-$2.00,04/30/2026 00:25:56 +00:00,-$0.19
ListingFee,2025 Panini Mosaic Cam Skattebo Variation RC #271 Giants Rookie,$0.00,$2.00,-$2.00,04/30/2026 00:36:19 +00:00,-$2.19
Sale,2025-26 Topps Anthony Edwards Gold #/2025 Timberwolves,$7.50,$2.49,$5.01,04/30/2026 01:00:51 +00:00,$2.82
Sale,2025 Topps Cosmic Chrome Jacob deGrom Green Space Dust Refractor #/75 Rangers,$21.50,$4.86,$16.64,04/30/2026 01:01:19 +00:00,$19.46
Sale,2025 Bowman Draft Sapphire JJ Wetherholt Chrome #BDC-145 Cardinals,$9.00,$2.79,$6.21,04/30/2026 01:31:26 +00:00,$25.67
Sale,2025 Bowman Draft Dominick Reid Chrome Purple Refractor 1st Prospect #/250 Cubs,$5.50,$2.09,$3.41,04/30/2026 02:00:44 +00:00,$29.08
Sale,2025 Panini Mosaic Drake Maye Mosaic Prizm #28 Patriots,$2.00,$1.39,$0.61,04/30/2026 02:32:27 +00:00,$29.69
Sale,2026 Topps Roman Anthony Stars of MLB RC Rookie #SMLB-25 Red Sox,$0.99,$0.99,$0.00,04/30/2026 02:32:29 +00:00,$29.69
Sale,2025 Panini Mosaic Drake Maye International Games #258 Patriots,$0.99,$0.99,$0.00,04/30/2026 02:32:29 +00:00,$29.69
Sale,2025 Bowman Chrome Sapphire Elorky Rodriguez Yellow Refractor 1st #/75 Rangers,$11.50,$3.06,$8.44,04/30/2026 03:01:21 +00:00,$38.13
Sale,2025 Panini Mosaic Drake Maye Notoriety Green Prizm #3 Patriots,$2.24,$1.44,$0.80,04/30/2026 03:45:38 +00:00,$38.93
Sale,2024-25 Panini Mosaic Jaylen Brown Jam Masters Orange Ice Mosaic #/49 Celtics,$13.00,$3.33,$9.67,04/30/2026 12:46:58 +00:00,$48.60
Sale,2025 Bowman Draft Cameron Millar Chrome Purple Geometric Refractor 1st #/250,$2.51,$1.49,$1.02,04/30/2026 13:01:21 +00:00,$49.62
Sale,2025 Bowman Draft Mason McConnaughey Chrome Green Refractor 1st #/99 Rangers,$4.55,$1.90,$2.65,04/30/2026 13:01:22 +00:00,$52.27
