Action,ItemID,EndingReason
End,227187764410,NotAvailable
End,227187764435,NotAvailable
End,227188624724,NotAvailable
End,227194686101,NotAvailable
End,227200183796,NotAvailable
End,227200183800,NotAvailable
End,227209221809,NotAvailable
End,227213329876,NotAvailable
End,227215933235,NotAvailable
End,227221330926,NotAvailable
End,227221330930,NotAvailable
End,227222739110,NotAvailable
End,227222739113,NotAvailable
End,227222739129,NotAvailable
End,227222739132,NotAvailable
End,227222739140,NotAvailable
End,227226424725,NotAvailable
End,227226424731,NotAvailable
End,227226424754,NotAvailable
End,227232811437,NotAvailable
End,227232811548,NotAvailable
End,227232811558,NotAvailable
End,227232811561,NotAvailable
End,227239472400,NotAvailable
End,227240835305,NotAvailable
End,227262921919,NotAvailable
End,227262921945,NotAvailable
End,227262922294,NotAvailable
End,227262955203,NotAvailable
End,227262955230,NotAvailable
End,227262955282,NotAvailable
End,227265888724,NotAvailable
End,227265889358,NotAvailable
End,227265938300,NotAvailable
End,227265938324,NotAvailable
End,227265938391,NotAvailable
End,227265938395,NotAvailable
End,227265938437,NotAvailable
End,227265938439,NotAvailable
End,227265938446,NotAvailable
End,227265938458,NotAvailable
End,227265938477,NotAvailable
End,227265938481,NotAvailable
End,227265938486,NotAvailable
End,227265938491,NotAvailable
End,227265938509,NotAvailable
End,227265938525,NotAvailable
End,227265938532,NotAvailable
End,227265938552,NotAvailable
End,227265938568,NotAvailable
End,227265938666,NotAvailable
End,227265938831,NotAvailable
End,227265938843,NotAvailable
End,227265938863,NotAvailable
End,227265938880,NotAvailable
End,227265938903,NotAvailable
End,227265938906,NotAvailable
End,227265938947,NotAvailable
End,227265938958,NotAvailable
End,227265938980,NotAvailable
End,227265938982,NotAvailable
End,227265938995,NotAvailable
End,227278827221,NotAvailable
End,227278827301,NotAvailable
End,227278827310,NotAvailable
End,227278827316,NotAvailable
End,227279716124,NotAvailable
End,227284268942,NotAvailable
End,227284485430,NotAvailable
End,227284486640,NotAvailable
End,227284486954,NotAvailable
End,227285867945,NotAvailable
End,227285868486,NotAvailable
End,227285868588,NotAvailable
End,227285868748,NotAvailable
End,227289656518,NotAvailable
End,227289656657,NotAvailable
End,227289656900,NotAvailable
End,227291295062,NotAvailable
End,227291295163,NotAvailable
End,227291295334,NotAvailable
End,227291295568,NotAvailable
End,227291295662,NotAvailable
End,227296921848,NotAvailable
End,227296921904,NotAvailable
End,227296922942,NotAvailable
End,227312977311,NotAvailable
End,227314180215,NotAvailable
End,227314180268,NotAvailable
End,227314180312,NotAvailable
End,227314180410,NotAvailable
End,227314180436,NotAvailable
End,227314180473,NotAvailable
End,227314180558,NotAvailable
End,227314180577,NotAvailable
End,227314180594,NotAvailable
End,227314180633,NotAvailable
End,227314180643,NotAvailable
End,227314180679,NotAvailable
End,227314180700,NotAvailable
End,227316642608,NotAvailable
End,227316642626,NotAvailable
End,227316642671,NotAvailable
End,227316642693,NotAvailable
End,227316642739,NotAvailable
End,227316642752,NotAvailable
End,227316642796,NotAvailable
End,227316642842,NotAvailable
End,227316642846,NotAvailable
End,227316642894,NotAvailable
End,227316642901,NotAvailable
End,227316642967,NotAvailable
End,227317101325,NotAvailable
End,227319141866,NotAvailable
End,227319249454,NotAvailable
End,227319249498,NotAvailable
End,227319249605,NotAvailable
End,227319249608,NotAvailable
End,227319249996,NotAvailable
End,227319250025,NotAvailable
End,227321059606,NotAvailable
End,227321059725,NotAvailable
End,227331368577,NotAvailable
End,227331368751,NotAvailable
End,227331369178,NotAvailable
End,227331369298,NotAvailable
End,227331369327,NotAvailable
End,227331369328,NotAvailable
End,227331369357,NotAvailable
End,227331369518,NotAvailable
End,227331369638,NotAvailable
End,227331369656,NotAvailable
End,227331369826,NotAvailable
End,227331370035,NotAvailable
End,227331370088,NotAvailable
